title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
글로벌이지 생일 축하해요 <b>딸기 케이크</b>,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9104719800&tid=1000000061,https://shopping-phinf.pstatic.net/main_5890442/58904423198.jpg,7810,,11번가,58904423198,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
맨투맨 전사이즈 <b>딸기케이크</b> 카페 사랑해 디자인,https://www.hnsmall.com/channel/channel.do?goods_code=60551468&channel_code=20005&utm_source=Naver&utm_medium=AF&utm_campaign=MC_Fashion_60551468&trackingarea=60000016^8005618^1389595,https://shopping-phinf.pstatic.net/main_5536636/55366369623.jpg,54000,,홈앤쇼핑,55366369623,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
가짜 모형 생크림 <b>딸기 케이크</b> 촬영 소품 (WFH26AC),https://www.hnsmall.com/channel/channel.do?goods_code=64804831&channel_code=20005&utm_source=Naver&utm_medium=AF&utm_campaign=MC_Kids_64804831&trackingarea=60000016^8005618^1389595,https://shopping-phinf.pstatic.net/main_5590206/55902068037.jpg,46800,,홈앤쇼핑,55902068037,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
가짜 모형 생크림 <b>딸기 케이크</b> 촬영 소품 (WFH26AC),https://www.hnsmall.com/channel/channel.do?goods_code=63426855&channel_code=20005&utm_source=Naver&utm_medium=AF&utm_campaign=MC_None_63426855&trackingarea=60000016^8005618^1389595,https://shopping-phinf.pstatic.net/main_5528629/55286295541.jpg,42800,,홈앤쇼핑,55286295541,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 전사이즈 <b>딸기케이크</b> 카페 사랑해 디자인,http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000693094780&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5472299/54722990143.3.jpg,64180,,신세계몰,54722990143,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
맨투맨 <b>딸기케이크</b> 카페 사랑해그림 전색상 사이즈,http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000716800580&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5631803/56318031632.1.jpg,44980,,신세계몰,56318031632,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
맨투맨 <b>딸기케이크</b> 카페 사랑해그림 전색상 사이즈,http://www.ssg.com/item/itemView.ssg?itemId=1000716800580&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5631803/56318031072.1.jpg,44980,,SSG닷컴,56318031072,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 전사이즈 <b>딸기케이크</b> 카페 사랑해 디자인,http://www.ssg.com/item/itemView.ssg?itemId=1000693094780&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5472305/54723051045.3.jpg,64180,,SSG닷컴,54723051045,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 떠먹는 화이트 스초생 + <b>딸기</b> 듬뿍 라떼 R,https://search.shopping.naver.com/catalog/58392388403,https://shopping-phinf.pstatic.net/main_5839238/58392388403.20260105154801.jpg,13860,,네이버,58392388403,1,투썸플레이스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
반팔라운드 <b>딸기케이크</b> 카페 사랑해 그림 전사이즈 (WFIX59I),http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000728508185&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5691050/56910508563.jpg,38300,,신세계몰,56910508563,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
