title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
포유공정무역 카페 수제청 딸기청 과일청 냉동 <b>딸기라떼</b> 1kg+1kg,https://smartstore.naver.com/main/products/6950970130,https://shopping-phinf.pstatic.net/main_8449547/84495470452.1.jpg,33900,,장보자고,84495470452,2,,,식품,음료,차류,기타차
딸기청 <b>딸기라떼</b>청 파우치 1kg 수제청 수야네수제과일청,https://smartstore.naver.com/main/products/11247301830,https://shopping-phinf.pstatic.net/main_8879181/88791812161.jpg,16160,,수야네수제과일청,88791812161,2,,,식품,음료,차류,기타차
딸기 함량 80% 집에서 즐기는 나만의 홈 카페 딸기청 1kg - <b>딸기라떼</b> 딸기에이드,https://www.dolfarmer.com/Goods/Detail/SSM45901837,https://shopping-phinf.pstatic.net/main_4192552/41925523552.3.jpg,19900,,돌쇠네농산물,41925523552,2,,,식품,음료,차류,기타차
메리딸기 딸기청 <b>딸기라떼</b> 홈카페 카페납품 딸기우유 딸기에이드 1kg,https://smartstore.naver.com/main/products/5777192796,https://shopping-phinf.pstatic.net/main_8332169/83321692210.2.jpg,25000,,메리엠제이 수제청 수제식혜,83321692210,2,,,식품,음료,차류,기타차
국내산 순 우리딸기청 대용량 <b>딸기라떼</b> 1.2kg  1개입  2개,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=7440983083&ctag=7440983083&lptag=I27231438184&itemId=27231438184&vendorItemId=86295085039&spec=10305199,https://shopping-phinf.pstatic.net/main_5801158/58011588411.jpg,26830,,쿠팡,58011588411,2,,UNKNOWN,식품,음료,차류,기타차
사월의 딸기청 <b>딸기라떼</b> 3kg (1kg x 3팩) 국산 카페 수제청 냉동 과일청,https://smartstore.naver.com/main/products/6576831638,https://shopping-phinf.pstatic.net/main_8412133/84121331971.2.jpg,37000,,제이투케이,84121331971,2,,,식품,음료,차류,기타차
복음자리 진심의 딸기 딸기청 <b>딸기라떼</b> 1kg X 2개 (아이스박스 무료),https://smartstore.naver.com/main/products/5956424996,https://shopping-phinf.pstatic.net/main_8350092/83500924484.1.jpg,25800,,커피다나와,83500924484,2,,,식품,음료,차류,기타차
이제부터 이제부터 딸기 홈카페 1kg 국내산 딸기청 카페 <b>딸기라떼</b> 수제청,https://link.auction.co.kr/gate/pcs?item-no=F243095811&sub-id=1&service-code=10000003,https://shopping-phinf.pstatic.net/main_5849371/58493719033.jpg,9560,,옥션,58493719033,2,이제부터,태후자연식품,식품,음료,차류,기타차
프레슬리쿡 카페 <b>딸기 라떼</b> 스무디 딸기청 수제 과일청 1kg x 2팩,https://link.auction.co.kr/gate/pcs?item-no=C518227974&sub-id=1&service-code=10000003,https://shopping-phinf.pstatic.net/main_5791068/57910689083.1.jpg,26600,,옥션,57910689083,2,,,식품,음료,차류,기타차
논산딸기 듬뿍 딸기청 82% <b>딸기라떼</b> 과일청 1kg,https://smartstore.naver.com/main/products/8524730835,https://shopping-phinf.pstatic.net/main_8606923/86069231158.jpg,17900,,맛꾼푸드,86069231158,2,,,식품,음료,차류,기타차
